	Respondent	MainBranch	Hobbyist	Age	Age1stCode	CompFreq	CompTotal	ConvertedComp	Country	CurrencyDesc	CurrencySymbol	DatabaseDesireNextYear	DatabaseWorkedWith	DevType	EdLevel	Employment	Ethnicity	Gender	JobFactors	JobSat	JobSeek	LanguageDesireNextYear	LanguageWorkedWith	MiscTechDesireNextYear	MiscTechWorkedWith	NEWCollabToolsDesireNextYear	NEWCollabToolsWorkedWith	NEWDevOps	NEWDevOpsImpt	NEWEdImpt	NEWJobHunt	NEWJobHuntResearch	NEWLearn	NEWOffTopic	NEWOnboardGood	NEWOtherComms	NEWOvertime	NEWPurchaseResearch	NEWPurpleLink	NEWSOSites	NEWStuck	OpSys	OrgSize	PlatformDesireNextYear	PlatformWorkedWith	PurchaseWhat	Sexuality	SOAccount	SOComm	SOPartFreq	SOVisitFreq	SurveyEase	SurveyLength	Trans	UndergradMajor	WebframeDesireNextYear	WebframeWorkedWith	WelcomeChange	WorkWeekHrs	YearsCode	YearsCodePro
20127	20207	I am a developer by profession	Yes	24.0	16				Nepal	Nepalese rupee	NPR	Cassandra;Elasticsearch;MongoDB;MySQL	Firebase;Microsoft SQL Server;MongoDB;MySQL;Oracle;SQLite	Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture	Very satisfied	I am not interested in new job opportunities	Java;JavaScript;Ruby;SQL;TypeScript	C;C++;HTML/CSS;Java;JavaScript;Python;SQL	Flutter;Node.js	Node.js;Pandas;TensorFlow	Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Somewhat important	Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company	Every few months		Yes	Yes	Occasionally: 1-2 days per quarter but less than monthly		Annoyed	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos	Linux-based	100 to 499 employees	Linux;MacOS	Android;Linux;Windows;WordPress	I have little or no influence	Straight / Heterosexual	Yes	Yes, definitely	I have never participated in Q&A on Stack Overflow	Multiple times per day	Easy	Too short	No	Computer science, computer engineering, or software engineering	Ruby on Rails;Vue.js	Express;React.js;Spring	Just as welcome now as I felt last year	50.0	5.0	Less than 1 year
20151	20231	I am a developer by profession	Yes	23.0	14	Monthly	71000.0	7464.0	Nepal	Nepalese rupee	NPR	MariaDB;MongoDB;MySQL;Oracle;PostgreSQL	MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite	Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	Southeast Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture	Slightly satisfied	I’m not actively looking, but I am open to new opportunities	Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL	Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL	Ansible;Node.js;React Native;Teraform	Ansible;Node.js;Pandas;React Native;Unity 3D	Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Somewhat important	Curious about other opportunities;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Directly asking current or past employees at the company	Every few months	Not sure	Yes	No	Occasionally: 1-2 days per quarter but less than monthly		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Do other work and come back later	Linux-based	100 to 499 employees	AWS;Docker;Kubernetes;Linux;Slack Apps and Integrations	Android;AWS;Docker;Heroku;Linux;WordPress	I have little or no influence	Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	A few times per week	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering	Django;Express;jQuery;React.js;Vue.js	Django;Express;Flask;jQuery;Laravel;React.js;Vue.js	Just as welcome now as I felt last year	9.0	8.0	4
20172	20252	I am a developer by profession	Yes	24.0	14	Monthly	58000.0	6096.0	Nepal	Nepalese rupee	NPR	PostgreSQL	Microsoft SQL Server	Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time		Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	Bash/Shell/PowerShell;Go;JavaScript;Python;TypeScript	Go;HTML/CSS;JavaScript;TypeScript	Node.js	Node.js	Confluence;Jira;Github;Slack;Stack Overflow for Teams	Confluence;Jira;Github;Slack;Stack Overflow for Teams	Yes	Somewhat important	Somewhat important	Curious about other opportunities;Better compensation;Better work/life balance	Personal network - friends or family;Directly asking current or past employees at the company	Once every few years		No	No	Sometimes: 1-2 days per month but less than weekly		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Panic	Linux-based	100 to 499 employees	Android;Docker;Linux	Linux	I have little or no influence	Straight / Heterosexual	Yes	Yes, somewhat	Less than once per month or monthly	A few times per week	Easy	Appropriate in length	No	Computer science, computer engineering, or software engineering	React.js;Vue.js	React.js	Just as welcome now as I felt last year	40.0	6.0	2
20290	20370	I am a developer by profession	No	24.0	23	Monthly			Nepal	Nepalese rupee	NPR	DynamoDB;MongoDB;PostgreSQL;Redis	MongoDB;MySQL	Academic researcher;Developer, back-end;Developer, front-end;Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development	Slightly dissatisfied	I’m not actively looking, but I am open to new opportunities	Go;HTML/CSS;JavaScript;TypeScript	C#;HTML/CSS;JavaScript;TypeScript	Node.js;Teraform	Node.js	Confluence;Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Somewhat important	Curious about other opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family	Once a year	No	No	No	Often: 1-2 days per week or more		Annoyed	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	MacOS	100 to 499 employees	AWS;Docker;Kubernetes;Microsoft Azure	Docker	I have little or no influence	Straight / Heterosexual	Yes	Yes, somewhat	I have never participated in Q&A on Stack Overflow	A few times per week	Easy	Appropriate in length	No	Another engineering discipline (such as civil, electrical, mechanical, etc.)	Express;React.js	Express;React.js	Just as welcome now as I felt last year	45.0	1.0	1
20318	20398	I am a developer by profession	Yes						Nepal	Nepalese rupee	NPR					Employed full-time					I’m not actively looking, but I am open to new opportunities																																								
20325	20405	I am a developer by profession	No	24.0	10	Monthly	53000.0	5568.0	Nepal	Nepalese rupee	NPR	Elasticsearch;Redis	MongoDB;MySQL;Oracle	Developer, full-stack	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture	Neither satisfied nor dissatisfied	I’m not actively looking, but I am open to new opportunities	Go;Rust	JavaScript;Python	React Native	Node.js	Gitlab	Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Fairly important	Curious about other opportunities;Better compensation;Growth or leadership opportunities	Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family	Once a year	Yes	Yes	No	Occasionally: 1-2 days per quarter but less than monthly		Indifferent	Stack Overflow (public Q&A for anyone who codes)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos	Linux-based	100 to 499 employees	AWS;Slack Apps and Integrations	Linux	I have little or no influence	Straight / Heterosexual	Not sure/can't remember	Neutral		Daily or almost daily	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering	Gatsby;React.js	Django;React.js	Just as welcome now as I felt last year	40.0	4.0	1
20710	20791	I am a developer by profession	Yes	24.0	9	Monthly			Nepal	Nepalese rupee	NPR	Redis;SQLite	Microsoft SQL Server;MySQL;PostgreSQL;SQLite	Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Languages, frameworks, and other technologies I’d be working with;Remote work options;How widely used or impactful my work output would be	Very dissatisfied	I’m not actively looking, but I am open to new opportunities	C;C++;Go;Kotlin;Perl;Python;Ruby;Rust	Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript	Flutter;Node.js;Pandas;React Native;TensorFlow;Unreal Engine	Node.js;Pandas;React Native	Github;Gitlab;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)	Yes	Somewhat important	Not at all important/not necessary	Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate	Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Every few months		No	Yes	Occasionally: 1-2 days per quarter but less than monthly		Annoyed	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers)	Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later	Linux-based	100 to 499 employees	Android;Docker;Linux	Linux;MacOS;Windows	I have little or no influence	Straight / Heterosexual	Yes	Neutral	I have never participated in Q&A on Stack Overflow	A few times per week	Neither easy nor difficult	Appropriate in length	No	Computer science, computer engineering, or software engineering	Express;Flask;Ruby on Rails;Vue.js	Express;Flask;React.js		40.0	12.0	3
20732	20813	I am not primarily a developer, but I write code sometimes as part of my work	Yes	23.0	16	Monthly	35000.0	3672.0	Nepal	Nepalese rupee	NPR	PostgreSQL		Developer, desktop or enterprise applications	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	Southeast Asian	Man	Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development	Slightly dissatisfied	I am actively looking for a job	C;C++	Python	.NET;Keras;Pandas;TensorFlow		Github	Google Suite (Docs, Meet, etc)	No	Not very important	Critically important	Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities	Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)	Every few months	Not sure	Onboarding? What onboarding?	No	Often: 1-2 days per week or more		Annoyed	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Play games;Visit Stack Overflow;Watch help / tutorial videos	Linux-based	100 to 499 employees	Arduino;Linux;Raspberry Pi	Arduino	I have little or no influence	Straight / Heterosexual	Yes	No, not really	I have never participated in Q&A on Stack Overflow	A few times per week	Easy	Too long	No	Another engineering discipline (such as civil, electrical, mechanical, etc.)			Just as welcome now as I felt last year	40.0	10.0	Less than 1 year
20802	20883	I am a developer by profession	Yes	23.0	19	Monthly			Nepal	Nepalese rupee	NPR	DynamoDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL	Microsoft SQL Server;MongoDB;MySQL	Developer, full-stack;Engineer, data	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	East Asian	Man	Office environment or company culture;Opportunities for professional development;Family friendliness	Very satisfied	I am not interested in new job opportunities	Bash/Shell/PowerShell;C++;Go;Java;JavaScript;Python;SQL;TypeScript	Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL;TypeScript	Node.js	Node.js	Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)	Confluence;Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)	Yes	Extremely important	Fairly important		Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company	Once a year	No	Yes	Yes	Occasionally: 1-2 days per quarter but less than monthly		Hello, old friend	Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics)	Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):	Linux-based	100 to 499 employees	AWS;Docker;Heroku;Kubernetes;Linux;Slack Apps and Integrations	Heroku;Linux;Slack Apps and Integrations	I have little or no influence		Yes	Neutral	Less than once per month or monthly	Daily or almost daily	Neither easy nor difficult	Too long	No	Computer science, computer engineering, or software engineering	Angular;Django;Express;React.js;Spring;Vue.js	Angular;Express;React.js;Spring	Just as welcome now as I felt last year	40.0	4.0	2
20914	20995	I am a developer by profession	Yes	35.0	23	Monthly	50000.0	5256.0	Nepal	Nepalese rupee	NPR	Microsoft SQL Server;MySQL;Oracle;PostgreSQL	Microsoft SQL Server;MySQL;Oracle;PostgreSQL	Designer;Developer, back-end;Developer, front-end;Product manager;Scientist	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Employed full-time	South Asian	Man	Office environment or company culture	Very satisfied	I’m not actively looking, but I am open to new opportunities	C#;Java;JavaScript;Python;SQL	C#;Java;JavaScript;Python;SQL	.NET;.NET Core	.NET;.NET Core	Github	Github	Yes	Somewhat important		Curious about other opportunities	Company reviews from third party sites (e.g. Glassdoor, Blind)	Every few months	Yes	Yes	Yes	Sometimes: 1-2 days per month but less than weekly	Visit developer communities like Stack Overflow	Annoyed	Stack Overflow (public Q&A for anyone who codes)	Visit Stack Overflow	Windows	2 to 9 employees	Windows	Windows	I have a great deal of influence	Straight / Heterosexual	No	Yes, definitely		Daily or almost daily	Easy	Too long	No	A business discipline (such as accounting, finance, marketing, etc.)	ASP.NET;ASP.NET Core	ASP.NET;ASP.NET Core	Just as welcome now as I felt last year	42.0	14.0	10
